[2023-01-15T18:13:22.072] [WARN] default - request fallida: GET, a la URL: /usuario
[2023-01-15T18:13:22.882] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:18:31.894] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:18:36.968] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:18:40.883] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:19:14.737] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T18:19:15.465] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:23:18.525] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:23:37.927] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:23:42.787] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:24:05.231] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:26:26.265] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:27:24.239] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:28:38.204] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:28:43.260] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:28:56.346] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T18:28:57.068] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:29:06.063] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:29:10.579] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:48:43.842] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:48:59.189] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:14:27.406] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:17:55.161] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:17:58.728] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:18:04.235] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T19:18:04.941] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:18:07.456] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:18:12.332] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:18:18.400] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:31:06.720] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:33:04.713] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:33:12.623] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:33:15.052] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:33:26.753] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:33:34.453] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:33:58.819] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:34:07.625] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:35:28.781] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:35:30.115] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:38:52.615] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:40:31.071] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:41:01.249] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:41:03.705] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:42:10.303] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:42:16.502] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:43:53.844] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:49:39.379] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:49:47.793] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:49:53.263] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:49:57.009] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:49:59.423] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:50:01.821] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:50:08.059] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:50:13.500] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:50:21.965] [WARN] default - request fallida: GET, a la URL: /carrito/styles/normalize.css
[2023-01-15T19:50:22.729] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:50:26.756] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:05.427] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:18.058] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:31.547] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:34.870] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:47.646] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:50.947] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:51:54.817] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:52:22.937] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:52:42.444] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:52:51.006] [WARN] default - request fallida: GET, a la URL: /carrito/styles/normalize.css
[2023-01-15T19:52:51.755] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:52:55.754] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:53:36.626] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T19:53:37.357] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:53:44.568] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T19:56:29.207] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T20:44:00.850] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T20:44:06.247] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T21:08:25.013] [WARN] default - request fallida: GET, a la URL: /favicon.ico
